Title,Year,Number of Songs,Film Director,Film Producer,Film cast,Lyricist,Music Director,Singer,External links,Watch Full Movie
Inkaar,(1977),4,Raj N Sippy,Romu Sippy,"Vinod Khanna, Vidya Sinha, Amjad Khan, Helen, Shreeram Lagoo, Rakesh Roshan, Keshto Mukherjee, Bharat Kapoor, Sadhu Mehar, Lily Chakraborty, Siddarth, Master Raju, Ranjeeta Thakur, Harish, Kamal Deep, Master Rajesh Valecha, Raju Shreshta, Gurbachan, Pardesi, Sheetal, Shekhar Purohit, Chopra, Chandu, Ratna, M Rajan",Majrooh Sultanpuri,Rajesh Roshan,"Asha Bhosle, Kishore Kumar, Mohammed Rafi, Usha Mangeshkar","https://www.imdb.com/title/tt0366616, http://en.wikipedia.org/wiki/Inkaar",https://www.youtube.com/watch?v=GgfB20cIbF8
Inquilaab,(1984),5,T Rama Rao,"N Veeraswamy, Ravi K. Chandran","Amitabh Bachchan, Sridevi, Kader Khan, Ranjeet, Shakti Kapoor, Utpal Dutt, C S Dube, Shafi Inamdaar, Iftekhar, Satyen Kappu, Viju Khote, Ram Mohan, Jagdish Raaj, Nirupa Roy, T P Jain, Pinchoo Kapoor, Babban Yadav",Anand Bakshi,"Laxmikant Kudalkar, Pyarelal","Asha Bhosle, Kishore Kumar, Kumar Sanu","https://www.imdb.com/title/tt0087474, http://en.wikipedia.org/wiki/Inquilaab_(film)",
Ishq,(1997),7,Indra Kumar,Gordhan Tanwani,"Aamir Khan, Ajay Devgn, Juhi Chawla, Kajol, Dalip Tahil, Mohan Joshi, Sadashiv Amrapurkar, Johny Lever, Razzak Khan, Shweta Menon, Ghanshyam, Mona Parekh, Achyut Potdar, Deepak Shirke, Tiku Talsania, Deven Verma, Anant Mahadevan","Anu Malik, Dev Kohli, Javed Akhtar, Rahat Indori",Anu Malik,"Abhijeet, Alka Yagnik, Anu Malik, Kavita Krishnamurthy, Kumar Sanu, Poornima, Shivram, Sudesh Bhosle, Udit Narayan","https://www.imdb.com/title/tt0133024, http://en.wikipedia.org/wiki/Ishq_%28film%29","https://www.youtube.com/watch?v=MMxYK5wkhPs, https://www.youtube.com/watch?v=_wrbBkaMpHk"
Ishq Par Zor Nahin,(1970),8,Ramesh Saigal,Suresh Saigal,"Dharmendra, Sadhana, Biswajeet, Jagdeep, Nadira, Abhi Bhattacharya, Jagdish Raaj, Leela Mishra, Kamini Kaushal, Madhumati",Anand Bakshi,S D Burman,"Asha Bhosle, Lata Mangeshkar, Mohammed Rafi","https://www.imdb.com/title/tt0065903, http://en.wikipedia.org/wiki/Ishq_Par_Zor_Nahin",https://www.youtube.com/watch?v=ByAvYvIiQIw
Ishqiya,(2010),7,Abhishek Chaubey,"Raman Maroo, Vishal Bhardwaj","Naseruddin Shah, Arshad Warsi, Vidya Balan, Salman Shahid, Adil Hussain, Anupama Kumar, Aalok Kumar, Rajesh Sharma","Ajinkya Iyer, Gulzar",Vishal Bhardwaj,"Clinton Cerejo, Mika Singh, Rahat Fateh Ali Khan, Rekha Bhardwaj, Sukhwinder Singh","https://www.imdb.com/title/tt1345777, http://en.wikipedia.org/wiki/Ishqiya",
Izzat,(1968),7,T Prakash Rao,T Prakash Rao,"Dharmendra, Tanuja, Jayalalitha, Mehmood, Balraj Sahni, Tiwari, Mukri, David, Devika, Lalita Pawar, Johny Whiskey",Sahir Ludhianvi,"Laxmikant Kudalkar, Pyarelal","Asha Bhosle, Lata Mangeshkar, Manna Dey, Mohammed Rafi",https://www.imdb.com/title/tt0254437,
Insaaf Ka Tarazu,(1980),4,B R Chopra,"Ravi Chopra, B R Chopra, C V K Shastry, Madan Chopra","Raj Babbar, Zeenat Aman, Deepak Parashar, Padmini Kolhapure, Iftekhar, Shreeram Lagoo, Simi Garewal, Jagdish Raaj, Vijay Sharma, Sunil Dhawan, Prem Sagar, Om Shiv Puri, Sujit Kumar, Yunus Parvez, Hiralal, Dharmendra",Sahir Ludhianvi,Ravindra Jain,"Asha Bhosle, Mahendra Kapoor","https://www.imdb.com/title/tt0080926, http://en.wikipedia.org/wiki/Insaaf_Ka_Tarazu",https://www.youtube.com/watch?v=PKYBy0jb1co
Inteha Pyar Ki,(1992),11,J K Bihari,Suresh Bhagat,"Rishi Kapoor, Rukhsar, Imran Khan, Asrani, Shafi Inamdaar, Aprajita, Satyen Kappu, Pran",Sameer,Anand Milind,"Udit Narayan, Sadhna Sargam, Mohammed Aziz, Suresh Wadkar, Kavita Krishnamurthy",https://www.imdb.com/title/tt0362766,https://www.youtube.com/watch?v=8lw9d9-dBuk
"I, Me Aur Main",(2013),8,Kapil Sharma 1,"Goldie Behl, Shrishti Arya, John Abraham","John Abraham, Chitrangda Singh, Prachi Desai, Zarina Wahab, Mini Mathur, Raima Sen","Nilesh Mishra,   Mayur Puri,  Manthan","Pritam Chakraborty, Sachin, Jigar, Gourav Dasgupta","Neeraj Shridhar, Anushka Manchanda, Falak Shabir, Shaan, Monali Thakur, Abhishek Nailwal","https://www.imdb.com/title/tt2064816, http://en.wikipedia.org/wiki/I,_Me,_aur_Main",
Imaan Dharam,(1977),4,Desh Mukherjee,Premji,"Amitabh Bachchan, Rekha, Sanjeev Kumar, Aparna Sen, Shashi Kapoor, Helen, Amrish Puri, Prem Chopra, Om Shiv Puri, Utpal Dutt, A K Hangal, Shetty, Sudhir, Amar Nath, C S Dube, Raj Kishore, Mac Mohan, Jagdish Raaj, Satyen Kappu, Pinchoo Kapoor, Shreeram Lagoo, Mohan Sherry, Baby Rani, Kamal Deep, Kumud Tripathi, Sajjan, Gajanan Jagirdar, Deepak, Prakash, Chandu, Amar, Nazir Kashmiri, Zahoor",Anand Bakshi,"Laxmikant Kudalkar, Pyarelal","Asha Bhosle, Kishore Kumar, Lata Mangeshkar, Mahendra Kapoor, Mohammed Rafi, Mukesh","https://www.imdb.com/title/tt0076177, http://en.wikipedia.org/wiki/Imaan_Dharam","https://www.youtube.com/watch?v=d_z475L7ZJ0, https://www.youtube.com/watch?v=ixMitJS4n5M"
Indra Jeet,(1991),7,K V Raju,Ramesh Behl,"Amitabh Bachchan, Jaya Prada, Neelam Kothari, Kumar Gaurav, Sadashiv Amrapurkar, Kader Khan, Yasmeen, Mahesh Anand, Saeed Jaffrey, Avtar Gill, Suresh Chatwal, Vijayendra Ghatge, Kamal Kapoor, Sharat Saxena, Ajinkya Deo, Ashutosh Gowariker, Gulshan Bawra, Mahesh Raaj",Gulshan Bawra,R.D.Burman,"Amit Kumar, Asha Bhosle, R.D.Burman, Mir Sahib, Sudesh Bhosle, Jolly Mukherjee, Abhijeet","https://www.imdb.com/title/tt0102119, http://en.wikipedia.org/wiki/Indrajeet",https://www.youtube.com/watch?v=AKKRhPJdsqY
Insaaf,(2004),8,Shrey Shrivastav,Mohammed Fasih,"Namrata Shirodkar, Dino Morea, Sanjay Suri, Henna, Rajpal Yadav, Varun Vardhan, Amitabh Bachchan, Mohan Joshi, Srivallabh Vyas, Cheetah Yagnesh Shetty",Sameer,"Nikhil, Vinay","Alka Yagnik, Anuradha Paudwal, Jaspinder Narula, Sapna Awasthi, Sonu Nigam, Udit Narayan",https://www.imdb.com/title/tt0405046,https://www.youtube.com/watch?v=eSmgGykjw9A
Insaaf Main Karoonga,(1985),7,Shibu Mitra,B S Seth,"Rajesh Khanna, Tina Munim, Padmini Kolhapure, Aruna Irani, Shakti Kapoor, Om Shiv Puri, Tej Sapru",,Bappi Lahiri,"Kishore Kumar, Asha Bhosle, Bappi Lahiri","https://www.imdb.com/title/tt0243333, http://en.wikipedia.org/wiki/Insaaf_Main_Karoonga",
Insan,(2005),9,K Subhash,Keshu Ramsay,"Akshay Kumar, Ajay Devgn, Tusshar Kapoor, Lara Dutta, Esha Deol, Laxmikant Berde, Asrani, Viveck Vaswani, Archana Puran Singh, Himani Shivpuri, Sharat Saxena, Rahul Dev, Kader Khan, Koena Mitra, Beena",Sameer,Himesh Reshammiya,"Alka Yagnik, Kunal Ganjawala, Shaan, Sonu Nigam, Sunidhi Chauhan, Udit Narayan","https://www.imdb.com/title/tt0438875, http://en.wikipedia.org/wiki/Insan",
Insaniyat,(1994),11,Tony,Tito,"Amitabh Bachchan, Sunny Deol, Chunky Pandey, Jaya Prada, Raveena Tandon, Sonam, Vinod Mehra, Anupam Kher, Sadashiv Amrapurkar, Nutan, Prem Chopra, Pallavi Joshi, Goga Kapoor, Shafi Inamdaar, Anjana Mumtaz, Tom Alter, Satyen Kappu, Alok Nath, Aruna Irani, Ajit Vachchani, Mukesh Khanna, Gurubachan Singh",Anjaan,Rajesh Roshan,"Asha Bhosle, Mangal Singh, Padmini, Anuradha Paudwal, Lata Mangeshkar, Anwar, Sudesh Bhosle, Udit Narayan, Kumar Sanu, Sadhana Sargam, Sapna Mukherjee","https://www.imdb.com/title/tt0110140, http://en.wikipedia.org/wiki/Insaniyat_(1994_film)",https://www.youtube.com/watch?v=-nGT6UJGqiU
Ishaqzaade,(2012),7,Habib Faisal,Aditya Chopra,"Arjun Kapoor, Parineeti Chopra, Gauhar Khan","Kausar Munir, Habib Faisal",Amit Trivedi,"Shreya Ghoshal, Vishal Dadlani, Sunidhi Chauhan, Javed Ali, Suraj Jagan, Divya Kumar, Shalmali Kholgade","https://www.imdb.com/title/tt2308773, http://en.wikipedia.org/wiki/Ishaqzaade",
Issey Kehte Hain Hip Hop,(2014),1,,,,Yo Yo Honey Singh	,Yo Yo Honey Singh,Yo Yo Honey Singh	,,
It's a Wonderful Afterlife,(2010),16,Gurinder Chadha,,"Sanjeev Bhaskar, Goldy Notay, Sendhil Ramamurthy, Jimi Mistri, Sally Hawkins, Zoe Wanamaker, Shabana Azmi, Shaheen Khan"," Ankur Tewari, Kumaar, Bally Sagoo","Mikey McCleary, Bally Sagoo, Diamond Duggal, Ankur Tewari, Parminder Chadha, Craig Pruess, Andrew Griffiths, Ross Stanway, Simon Duggal, Colin Vearncombe, T.S. Jarnail, Kidd Skilly, Syrona Marie","Mica Paris, Sukhshinder Shinda,	Kidd Skilly, Colin Vearncombe, Punjabi Mc, Parminder Chadha","https://www.imdb.com/title/tt1319716, http://en.wikipedia.org/wiki/It%27s_a_Wonderful_Afterlife",
Jab Jab Phool Khile,(1965),9,Suraj Prakash,Robin Khera,"Shashi Kapoor, Nanda, Kamal Kapoor, Agha, Shammi, Bhalla, Mridula, Prayag Raj, Farida Dadi, Jatin Khan, Tun Tun, Shyam, Javed",Anand Bakshi,"Kalayanji, Anandji","Lata Mangeshkar, Mohammed Rafi, Nanda, Suman Kalyanpur","https://www.imdb.com/title/tt0305689, http://en.wikipedia.org/wiki/Jab_Jab_Phool_Khile",
Julie,(1975),6,Sethumadhavan,B Nagi Reddy,"Vikram, Laxmi, Nadira, Jalal Aga, Sridevi, Utpal Dutt, Rajendra Nath, Achla Sachdev, Reeta Bhaduri, Om Prakash, Sulochana, Umesh Sharma, Satyajit Puri, Anand, Uday Laxmi Shanti, Hamid","Anand Bakshi, Harindranath Chattopadhyay","Rajesh Roshan, Amar Mohile, Nirmal Kumar","Asha Bhosle, Kishore Kumar, Lata Mangeshkar, Usha Mangeshkar","https://www.imdb.com/title/tt0187192, http://en.wikipedia.org/wiki/Julie_%281975_film%29",
Jaal,(1952),9,Guru Dutt,,"Dev Anand, Geeta Bali, K N Singh, Purnima Razi, Ram Singh, Johny Walker, Krishna Kumari, Rashid Khan, Raj Khosla",Sahir Ludhianvi,S D Burman,"Geeta Dutt, Hemant Kumar, Kishore Kumar, Lata Mangeshkar","https://www.imdb.com/title/tt0044761, http://en.wikipedia.org/wiki/Jaal_%281952_film%29","https://www.youtube.com/watch?v=hwp3KjgT-3g, https://www.youtube.com/watch?v=7QDIHOBEONQ"
Jaal,(1986),6,Umesh Mehra,"F C Mehra, Pravesh C Mehra","Mithun Chakraborty, Moon Moon Sen, Mandakini, Jeetendra, Tanuja, Jagdeep, Vinod Mehra, Rekha, Roopesh Kumar, Amrit Pal, Gulshan Grover, Sharat Saxena, Anirudh Agarwal",Anand Bakshi,Anu Malik,"Asha Bhosle, Kishore Kumar, Kumar Sanu",https://www.imdb.com/title/tt0239495,
Jaan-e-mann,(2006),10,Shirish Kunder,Sajid Nadiadwala,"Akshay Kumar, Salman Khan, Preity Zinta, Anupam Kher, Aman Verma, Javed Sheikh, Soni Razdan, Rajesh Balwani, Nawab",Gulzar,Anu Malik,"Adnan Sami, Amit Sana, Krishna, Kunal Ganjawala, Mona Thakur, Prajakta Shukre, Rahul Vaidya, Sadhana Sargam, Sonu Nigam, Sukhwinder Singh, Sunidhi Chauhan, Suzan, Udit Narayan","https://www.imdb.com/title/tt0456481, http://en.wikipedia.org/wiki/Jaan-E-Mann",
Jaane Tu Ya Jaane Na,(2008),8,Abbas Tyrewala,"Aamir Khan, Mansoor Khan","Imran Khan, Genelia Dsouza, Ratna Pathak, Manjari Fadnis, Anuradha Patel, Jayant Kriplani, Alishka Varde, Nirav Mehta, Ayaz Khan, Karan Makhija, Sugandha Garg, Prateik Babbar, Renuka Kunzru, Naseruddin Shah, Sohail Khan, Arbaaz Khan, Paresh Rawal, Murli Sharma, Kittu Gidwani, Rajat Kapoor, Padam Bhola, Urvashi Shah",Abbas Tyrewala,A R Rahman,"A R Rahman, Anupama Deshpande, Benny Dayal, Blaaze, Darshana, Mohd. Aslam, Naresh Iyer, Rashid Ali, Runa Rizvi, Satish Chakravarthy, Satish Subramanium, Sukhwinder Singh, Swetha Bhargavee, Tanvi, Vasundhara Das","https://www.imdb.com/title/tt0473367, http://en.wikipedia.org/wiki/Jaane_Tu_Ya_Jaane_Na",
Jaani Dushman,(1979),7,Rajkumar Kohli,Rajkumar Kohli,"Sunil Dutt, Reena Roy, Jeetendra, Premnath, Shatrughan Sinha, Sanjeev Kumar, Rekha, Amrish Puri, Neetu Singh, Vinod Mehra, Bindiya Goswami, Sarika, Yogita Bali, Vikram, Aruna Irani, Raza Murad, Madan Puri, Sulochana, Shakti Kapoor, Paintal, Jagdeep, Roopesh Kumar, Shobhni Singh, Jay Shree T, Indrani Mukherjee, Neeta Metha, Anwar Hussan, Sheetal, Aarti, Maruti, Mac Mohan, Rakesh Roshan, Neeta Mehta, Ram",Varma Malik,"Laxmikant Kudalkar, Pyarelal","Anuradha Paudwal, Asha Bhosle, Kishore Kumar, Lata Mangeshkar, Mahendra Kapoor, Mohammed Rafi","https://www.imdb.com/title/tt0079355, http://en.wikipedia.org/wiki/Jaani_Dushman",https://www.youtube.com/watch?v=bLlzx1fRS18
Jab Pyar Kisi Se Hota Hai,(1961),10,Nasir Hussain,Nasir Hussain,"Dev Anand, Asha Parekh, Pran, Sulochana, Rajendra Nath, Raj Mehra, Mubarak, Ulhas Wasti, Tahir Hussain","Hasrat Jaipuri, Shailendra","Shankarsinh Raghuwanshi, Jaikishan Dayabhai Pankal","Lata Mangeshkar, Mohammed Rafi","https://www.imdb.com/title/tt0230348, http://en.wikipedia.org/wiki/Jab_Pyar_Kisise_Hota_Hai","https://www.youtube.com/watch?v=CooEx6ZTSXE, https://www.youtube.com/watch?v=-xtK_hw06D0"
Jab We Met,(2007),10,Imtiaz Ali,Dhillin Mehta,"Kareena Kapoor, Shahid Kapoor, Dara Singh Randhawa, Kiran Juneja, Saumya Tandon, Tarun Arora, Teddy Maurya, Pawan Malhotra, Kamal Tiwari, Divya Seth, Asif Basra","Faiz Anwar, Irshad Kamil","Pritam Chakraborty, Sandesh Shandilya","Antara Mitra, Labh Jajua, Mika Singh, Mohit Chauhan, Shaan, Shreya Ghoshal, Sonu Nigam, Ustad Rashid Khan","https://www.imdb.com/title/tt1093370, http://en.wikipedia.org/wiki/Jab_We_Met",
Jagriti,(1954),5,Satyen Bose,,"Abhi Bhattacharya, Pranoti Ghosh, Dhumal, Bipin Gupta, Kanu Rao, Ghanshyam, Mehmood, Ratan Kumar, Mumtaz Begum, Ramesh Sinha",Kavi Pradeep,Hemant Kumar,"Asha Bhosle, Lata Mangeshkar, Mohammed Rafi, Pradeep","https://www.imdb.com/title/tt0145851, http://en.wikipedia.org/wiki/Jagriti","https://www.youtube.com/watch?v=ZS8ahsaaVXY, https://www.youtube.com/watch?v=j8E2EdofV0s"
Jagte Raho,(1956),5,"Amit Mitra, Shombu Mitra",Raj Kapoor,"Raj Kapoor, Nargis Dutt, Pradeep Kumar, Sulochana Chatterjee, Motilal, Nemo, Nana Palsikar, Iftekhar, Moni Chatterjee, Krishnakant, Rashid Khan, Tun Tun, S N Bannerjee, Bhupendra Kapoor, Nanda Babu, Smriti Biswas, Pran, Sumitra Devi, Daisy Irani, Vikram Kapoor, Krishan Dhawan, Sachin Ghosh, Manohar Deepak, Phari Sanyal, Ratan Gaurang, Kalyan Bhattacharya, Inder Maini",Shailendra,Salil Chowdhary,"Balbir, Lata Mangeshkar, Mohammed Rafi, Mukesh, Sandhya Mukerjee","https://www.imdb.com/title/tt0049378, http://en.wikipedia.org/wiki/Jagte_Raho","https://www.youtube.com/watch?v=0lUyhaSQMzU, https://www.youtube.com/watch?v=uOZzVqxqV6g"
Jahan Ara,(1964),9,Vinod Kumar,Light & Shade,"Bharat Bhushan, Mala Sinha, Shashikala, Prithviraj Kapoor, Sunder, Minu Mumtaz, Chandrashekhar, Achla Sachdev, Om Parkesh, Randhir Kapoor, Aruna Irani, Siddhu, Farida Jalal",Rajindra Krishan,Madan Mohan,"Lata Mangeshkar, Mohammed Rafi, Suman Kalyanpur, Talat Mahmood","https://www.imdb.com/title/tt0137847, http://en.wikipedia.org/wiki/Jahan_Ara_%28film%29","https://www.youtube.com/watch?v=_lQYvF879nw, https://www.youtube.com/watch?v=zLlVSGc_4Ww"
Jai Santoshi Maa,(1975),6,Vijay Sharma,Satram Rohara,"Kanan Kaushal, Anita Guha, Ashish Kumar, Bharat Bhushan, Trilok Kapoor, Rajni Bala, Rajan Haksar, Leela Mishra, B M Vyas, Dilip Dutt",Pradeep,C Arjun,"Mahendra Kapoor, Manna Dey, Pradeep, Usha Mangeshkar","https://www.imdb.com/title/tt0073191, http://en.wikipedia.org/wiki/Jai_Santoshi_Maa","https://www.youtube.com/watch?v=3pyeJoFSNGc, https://www.youtube.com/watch?v=7mHybuBHNaY"
Jal Bin Machhli Nritya Bin Bijli,(1971),9,V Shantaram,V Shantaram,"Dina Pathak, Abhijeet, Sandhya, Iftekhar, Raja Paranjape, Birbal, Nanda, Vatsala Deshmukh, Vasant Parekh, Ravindra, Sushant Ray",Majrooh Sultanpuri,Laxmikant Pyarelal,"Lata Mangeshkar, Mukesh","https://www.imdb.com/title/tt0352457, http://en.wikipedia.org/wiki/Jal_Bin_Machhli_Nritya_Bin_Bijli",https://www.youtube.com/watch?v=A3d0HDZxzAs
Jana Gana Mana (Album),(2000),35,"Bharat Bala, Kanika Myer",Bharat Bala Productions,,Ravindra Nath Tagore,A R Rahman,"D K Pattamal, Pandit Bhimsen Joshi, Lata Mangeshkar, Pandit Jasraj, Dr Balamuralikrishna, Jagjit Singh, Pandit Ajoy Chakrabarty, Shobha Gurtu, Begum Parveena Sultana, Bhupen Hazarika, Ustad Ghulam Mustafa Khan, Shruti Sadolikar, Dr S P Balasubramaniam, Sudha Raghunathan, Asha Bhosle, Hariharan, Kavi",http://en.wikipedia.org/wiki/Jana_Gana_Mana_Video,
Janam Janam Ke Phere,(1957),10,"Manno Desai, Vijay Sadanah",Sunil Goel,"B M Vyas, Manhar Desai, Nirupa Roy, Krishan Kumari, Amirbai Karnataki",Bharat Vyas,S N Tripathi,"Manna Dey, Shamshad Begum, Lata Mangeshkar, Mohammed Rafi",https://www.imdb.com/title/tt0373937,"https://www.youtube.com/watch?v=FQKL6Hq5hCw, https://www.youtube.com/watch?v=jQ2EitIXzUk"
Jannat,(2008),8,Kunal Deshmukh,Mukesh Bhatt,"Emraan Hashmi, Samir Kochhar, Sonal Chauhan, Vishal Malhotra, Javed Sheikh, Vipin Sharma, Shakeel Khan, Abhimanyu Shekhar Singh","Kamran Ahmed, Neelesh Misra, Sayeed Qadri","Pritam Chakraborty, Kamran Ahmed","K K, Kamran Ahmed, Rana Mazumder, Richa Sharma, Rupam Islam","https://www.imdb.com/title/tt1216300, http://en.wikipedia.org/wiki/Jannat_%28film%29",https://www.youtube.com/watch?v=b6bzB7z4BtU
Janwar,(1965),7,Bhappi Sonie,,"Shammi Kapoor, Rajshree, Prithviraj Kapoor, Rehman, Shyama, Rajendra Nath, Madhvi, Asit Sen, Manorama, Achla Sachdev, Krishan Dhawan, Indu Shivraj, Ravikant, Madhumati, Farida Dadi, Ratna, Manmohan, Keshav Rana, Rani, Shobha, Laxmi","Shailendra, Hasrat Jaipuri","Shankarsinh Raghuwanshi, Jaikishan Dayabhai Pankal","Lata Mangeshkar, Asha Bhosle, Mohammed Rafi, Balbir, S D Batish, Suman Kalyanpur","https://www.imdb.com/title/tt0317751, http://en.wikipedia.org/wiki/Janwar_%281965_film%29","https://www.youtube.com/watch?v=iajf3Ur5RuU, https://www.youtube.com/watch?v=-NXJtUftiGI"
Jawani Diwani,(1972),7,Narendra Bedi,Ramesh Behl,"Randhir Kapoor, Jaya Bachchan, Nirupa Roy, Balraj Sahni, Iftekhar, A K Hangal, Satyen Kappu, Narendra Nath, Paintal, Viju Khote, Lalita Kumari, Jagdish Raaj, Mushtaq Merchant, Nazneen, Srandhir",Anand Bakshi,R D Burman,"Asha Bhosle, Kishore Kumar","https://www.imdb.com/title/tt0155775, http://en.wikipedia.org/wiki/Jawani_Diwani",https://www.youtube.com/watch?v=qK1wiGv6NQA
Jeene Ki Raah,(1969),7,T L V Prasad,,"Jeetendra, Tanuja, Anjali, Durga Khote, Jagdeep, Manmohaan Krishan, Bela Bose, Sanjeev Kumar, Viju Khote, Roopesh Kumar, Karan Dewan, Ram Mohan, Sudhir Kumar, Meena, Dube, Deepak, Shukla, Qamar",Anand Bakshi,Laxmikant Pyarelal,"Asha Bhosle, Bhupinder, Lata Mangeshkar, Mohammed Rafi, Usha Mangeshkar","https://www.imdb.com/title/tt0148353, http://en.wikipedia.org/wiki/Jeene_Ki_Raah","https://www.youtube.com/watch?v=Mwj9OCA4MbE, https://www.youtube.com/watch?v=XRyFWJH8R7w"
Kabhi Kabhie,(1976),10,Yash Chopra,"Subhash (2), Yash Chopra","Amitabh Bachchan, Rakhee, Shashi Kapoor, Waheeda Rehman, Neetu Singh, Rishi Kapoor, Parikshat Sahni, Naseem Banoo, Simi Garewal, Iftekhar, Deven Verma",Sahir Ludhianvi,Khayyam,"Amitabh Bachchan, Kishore Kumar, Lata Mangeshkar, Mukesh","https://www.imdb.com/title/tt0074730, http://en.wikipedia.org/wiki/Kabhi_Kabhie",
Kala Bazar,(1960),9,Vijay Anand,Dev Anand,"Dev Anand, Waheeda Rehman, Nanda, Rashid Khan, Vijay Anand, Kishore Sahu, Leela Chitnis, Chetan Anand, Madan Puri, Helen",Shailendra,S D Burman,"Mohammed Rafi, Geeta Dutt, Sudha Malhotra, Asha Bhosle, Manna Dey","https://www.imdb.com/title/tt0053980, http://en.wikipedia.org/wiki/Kala_Bazar","https://www.youtube.com/watch?v=UQ_zLJ34ViE, https://www.youtube.com/watch?v=LD5F_bnFmBI"
Karz,(1980),7,Subhash Ghai,"Akhter Shiekh, Jagjit Khurana, Narayan, Shantibhai","Rishi Kapoor, Tina Munim, Simi Garewal, Raj Kiran, Jalal Aga, Iftekhar, Premnath, Durga Khote, Pinchoo Kapoor, Pran, Abha Dhulia, Birbal, Viju Khote, Mac Mohan, Mukri, Kamal Jeet, Aruna Irani, Madhu Malhotra, Yusuf Khan, Master Ravi, Bhola, Ratna, Ranjan Grewal, Master Rajesh Valecha, Robert Slater",Anand Bakshi,"Laxmikant Kudalkar, Pyarelal","Asha Bhosle, Kishore Kumar, Lata Mangeshkar, Mohammed Rafi","https://www.imdb.com/title/tt0214841, http://en.wikipedia.org/wiki/Karz_%28film%29","https://www.youtube.com/watch?v=tbnt7Gd3RaY, https://www.youtube.com/watch?v=oSklN5Yam6U"
Kashmir Ki Kali,(1964),9,Shakti Samanta,Shakti Samanta,"Shammi Kapoor, Sharmila Tagore, Pran, Anoop Kumar, Nazir Hussain, Madan Puri, Sunder, Tun Tun, Dhumal, Mridula, Sujata, Padma Devi, Padma Chavan, Samar Chatterjee",S.H. Bihari	,O P Naiyyar,"Asha Bhosle, Mohammed Rafi","https://www.imdb.com/title/tt0058257, http://en.wikipedia.org/wiki/Kashmir_Ki_Kali",https://www.youtube.com/watch?v=6I8cZmdDrEk
Kati Patang,(1971),7,Shakti Samanta,Shakti Samanta,"Rajesh Khanna, Asha Parekh, Prem Chopra, Nasir Husain, Bindu, Birbal, Honey Irani, Satyen Kappu, Madan Puri, Chandrashekhar, Daisy Irani, Lalita Kumari, Jr Mehmood, Tiwari, Sulochana, Lata Sinha",Anand Bakshi,R D Burman,"Asha Bhosle, Kishore Kumar, Lata Mangeshkar, Mukesh","https://www.imdb.com/title/tt0065936, http://en.wikipedia.org/wiki/Kati_Patang",https://www.youtube.com/watch?v=N3_s9dyrK1s
Khamoshi,(1970),6,Asit Sen,Geetanjali,"Rajesh Khanna, Waheeda Rehman, Sneh Lata, Nazir Hasain, Deven Verma, Iftekhar, Lalita Pawar, Dharmendra, Anwar Hussan, Bhudo Advani, Tarun Ghosh",Gulzar,,"Kishore Kumar, Lata Mangeshkar, Manna Dey, Aarti Mukherji","https://www.imdb.com/title/tt0142431, http://en.wikipedia.org/wiki/Khamoshi","https://www.youtube.com/watch?v=Yew8DDHjoU0, https://www.youtube.com/watch?v=cjt1dYCACb8"
Kaagaz Ke Phool,(1959),8,Guru Dutt,Guru Dutt,"Guru Dutt, Waheeda Rehman, Baby Naaz, Mahesh Kaul, Veena, Mehmood, Johnny Walker, Minu Mumtaz, Tun Tun, Pratima Devi, Nilofer, Sulochna, Sheela Vaz, Vikram Kapoor, Mohan Choti, Haroon, Tony Walker, Ratna","Kaifi Azmi, Shailendra","S D Burman, R D Burman","Asha Bhosle, Geeta Dutt, Mohammed Rafi","https://www.imdb.com/title/tt0052954, http://en.wikipedia.org/wiki/Kaagaz_Ke_Phool",https://www.youtube.com/watch?v=-jlR2M1fyts
Kaajal,(1965),11,Ram Maheshwari,Kalpanalok,"Dharmendra, Meena Kumari, Raj Kumar, Mumtaz, Padmini, Helen, Jagirdar, Tiwari, Madhu Apte, Shabnam",Sahir Ludhianvi,Ravi,"Asha Bhosle, Mahendra Kapoor, Mohammed Rafi","https://www.imdb.com/title/tt0139398, http://en.wikipedia.org/wiki/Kaajal",
Kaal,(2005),6,Soham Shah,"Karan Johar, Shahrukh Khan","Ajay Devgn, Vivek Oberoi, John Abraham, Lara Dutta, Esha Deol, Shahrukh Khan, Malaika Arora, Kushal Punjabi, Parmeet Sethi, Vishal Malhotra, Vineet Sharma, Daya Shanker Pandey","Anand Raj Anand, Kailash Kher, Shabbir Ahmed","Salim Merchant, Sulaiman Merchant, Anand Raj Anand","Caralisa Monteiro, Jeanne, Kailash Kher, Kunal Ganjawala, Ravi'Rag' Khote, Richa Sharma, Salim Merchant, Sonu Nigam, Sunidhi Chauhan, Vijay Prakash","https://www.imdb.com/title/tt0415908, http://en.wikipedia.org/wiki/Kaal",https://www.youtube.com/watch?v=d0lmuWJrSe4
