Artists,Title,Rating,Number of Votes,Movie Title
"Monali Thakur, Suzie Q",Meow (Remix),3.00,1,Golmaal Returns
"Earl Edgar D Souza, Akriti Kakkar, Anwesha Dutta, Neeraj Shridhar",Tha Kar Ke (Remix),3.00,1,Golmaal Returns
"Suzie Q, Suhail, Benny Dayal, Neeraj Shridhar",Vacancy (Remix),3.00,1,Golmaal Returns
Ravindra Jain,Teri Maya Ka Na Paya Koi Paar,4.21,169,Gopal Krishna
Chandrani Mukherjee,Tu Man Ki Ati Bhori O Maiya Mori,4.39,46,Gopal Krishna
"Yesudas, Hemlata",Neer Bharan Ka Karke Bahana,4.23,22,Gopal Krishna
Hemlata,Govinda Gopala Gopala,4.36,11,Gopal Krishna
Hemlata,Koi Mat Jariyo Ri Mere Bhag Pe,4.50,4,Gopal Krishna
"Jaspal Singh, Hemlata",Holi Hai Aayo Phaagun Hattheelo,4.00,6,Gopal Krishna
Mohammed Rafi,Sukh Ke Sab Saathi Dukh Mein Na Koi,4.30,183,Gopi
Mahendra Kapoor,Ramachadra Kaha Gaye Siyase,4.21,177,Gopi
"Mahendra Kapoor, Lata Mangeshkar",Ek Padosan Pichhe Pad Gayi Jungli Jiska Naam,4.08,59,Gopi
Lata Mangeshkar,Akele Hi Akele Chala Hai Kahaa,4.29,45,Gopi
"Mahendra Kapoor, Lata Mangeshkar",Gentleman Gentleman Mai Hu Babu Gentleman,4.00,16,Gopi
,Title Music (Gopi),1.00,2,Gopi
"Lata Mangeshkar, Mukesh",Dhire Dhire Bol Koyi Sun Na Le,4.18,60,Gora Aur Kala
Mohammed Rafi,Ik Naa Ik Din Yeh Kahanee Banegee,4.21,43,Gora Aur Kala
Mohammed Rafi,Tere Nain Nashe De Pyale Hai,4.32,19,Gora Aur Kala
Lata Mangeshkar,Ek To Mera Mastana Shabab,4.13,8,Gora Aur Kala
"Mohammed Rafi, Usha Mangeshkar",Ek Gora Ek Kala,3.80,5,Gora Aur Kala
Lata Mangeshkar,Parda Rukhe Roshan Se,3.75,4,Gora Aur Kala
Sudesh Bhosle,Ladki Ne Aankh Mari Gir Gaye Hum,3.96,120,Gunehgar
"Alka Yagnik, Kumar Sanu",Vada Karo Ye Ke Sath Tum Kabhi Na Chhodoge,4.23,13,Gunehgar
"Kumar Sanu, Sadhana Sargam",Keh Do Na Ke Tum Se Pyar Hai,4.71,7,Gunehgar
"Kumar Sanu, Alka Yagnik",Dil Huwa Bekarar Aahista Aahista,4.40,5,Gunehgar
Sudesh Bhosle,Ruthega Rab To Mana Lunga,4.00,2,Gunehgar
"Talat Mahmood, Mohammed Rafi, Manna Dey, Bhupinder Singh",Hoke Majbur Mujhe Usne Bhulaya Hoga,4.44,1314,Haqeeqat
Mohammed Rafi,Kar Chale Ham Fidaa Jaan-O-Tan Saathiyon,4.58,458,Haqeeqat
Lata Mangeshkar,Zara Si Aahat Hoti Hai To Dil Sochta Hai,4.50,180,Haqeeqat
Mohammed Rafi,Main Ye Sochakar Usake Dar Se Uthaa Thaa,4.49,200,Haqeeqat
Lata Mangeshkar,Khelo Naa Mere Dil Se O Mere Saajanaa,4.51,72,Haqeeqat
Mohammed Rafi,Masti Me Chhedke Tarana Koi Dil Ka,4.42,96,Haqeeqat
Lata Mangeshkar,Aai Ab Ki Saal Divaali Munh Par Apne Khun Male,4.44,36,Haqeeqat
Lata Mangeshkar,Do Dil Tute Do Dil Hare,4.38,113,Heer Ranjha
Mohammed Rafi,Yeh Duniya Yeh Mehfil Mere Kaam Ki Nahi,4.27,302,Heer Ranjha
Lata Mangeshkar,Milo Naa Tum Toh Ham Ghabaraye,4.25,163,Heer Ranjha
"Lata Mangeshkar, Mohammed Rafi, Priya Rajvansh, Raaj Kumar",Meri Duniya Me Tum Aayi,4.39,59,Heer Ranjha
Mohammed Rafi,Tere Kuche Me Tera Diwana Aaj Dil Kho Baitha,4.34,82,Heer Ranjha
"Priya Rajvansh, Lata Mangeshkar",Doli Chadhate Hi Hir Ne Bain Kiye,4.52,25,Heer Ranjha
"Jagjit Kaur, Shamshad Begum",Nache Ang Ve Chhalke Rang Ve,4.35,31,Heer Ranjha
"Usha Timothy, S Balbir, Krishna Kalle, Hemlata",Jo Moti Teri Nani Hai,4.07,15,Heer Ranjha
"Anuradha Paudwal, Manhar Udhas",Too Meraa Janu Hai,4.27,100,Hero
"Anuradha Paudwal, Manhar Udhas","Tu Mera Janu Hai, Tu Mera Dilbar",4.27,194,Hero
Reshma,"Lambi Judai, Bichhde Abhi To Ham Bas Kal Parso",4.16,175,Hero
Lata Mangeshkar,"Nindiya Se Jagee Bahar, Aisa Mausam Dekha Pehali Bar",4.14,101,Hero
"Lata Mangeshkar, Manhar Udhas","Logon Se Sunaa Hai, Pyar Karne Wale Kabhi Darte Nahi",4.25,84,Hero
"Asha Bhosle, Suresh Wadkar","Mohabbat Ye Mohabbat, Kayamat Hai Ye Najakat Hai Ye",4.48,21,Hero
"Anuradha Paudwal, Manhar Udhas",Ding Dong O Baby Sing A Song,4.22,36,Hero
,Hero Theme (Instrumental),4.10,21,Hero
Lata Mangeshkar,Pheli Hui Hain Sapno Ki Bahen,4.52,179,House No. 44
Hemant Kumar,Teri Duniya Me Jine Se To Behtar Hai Ki Mar Jaayen,4.46,206,House No. 44
Hemant Kumar,"Chup Hain Dharti, Chup Hain Chand Sitare",4.59,88,House No. 44
"Lata Mangeshkar, Hemant Kumar","Pichhe Pichhe Aa Kar, Chhu Lo Hame Pa Kar, Chhup Chhup Jana Ho",4.59,54,House No. 44
Kishore Kumar,Oonche Sur Mein Gaaye Ja,4.55,31,House No. 44
Asha Bhosle,Dum Hai Baki To Gham Nahi,4.52,27,House No. 44
Asha Bhosle,Dekh Idhar O Jadugar,4.26,19,House No. 44
Asha Bhosle,"Tum Chalo Hamare Sath Balama, Dariyo Naa",4.67,12,House No. 44
Asha Bhosle,Aaiye Meharabaan Baithiye Jaan E Jaan,4.45,1364,Howrah Bridge
Asha Bhosle,Ye Kya Kar Dala Tune,4.43,1052,Howrah Bridge
"Asha Bhosle, Mohammed Rafi","Dekh Ke Teri Nazar, Bekrar Ho Gaye",4.42,1115,Howrah Bridge
"Shamshad Begum, Mohammed Rafi",Iit Ki Dukki Paan Kaa Ikkaa,4.35,130,Howrah Bridge
Geeta Dutt,Meraa Naam Chin Chin Chu,4.31,219,Howrah Bridge
"Asha Bhosle, Mohammed Rafi",Goraa Rang Chunariyaa Kaali Motiyon Vaali Ki Dil Mera,4.63,62,Howrah Bridge
"Mohammed Rafi, Asha Bhosle",Muhabbat Ka Hath Javani Ka Palla,4.57,56,Howrah Bridge
"Mohammed Rafi, Shamshad Begum",Mai Jaan Gayi Tujhe Saiya,4.36,33,Howrah Bridge
S P Balasubramaniam,Pehla Pehla Pyar Hai,4.44,429,Hum Aapke Hain Kaun
"Lata Mangeshkar, S P Balasubramaniam",Didi Tera Devar Divaanaa Haye Ram Kuduyon Ko Dale Dana,4.15,142,Hum Aapke Hain Kaun
"S P Balasubramaniam, Lata Mangeshkar",Mujhse Judaa Hokar Tumhe Door Jaana Hai,4.15,284,Hum Aapke Hain Kaun
"Lata Mangeshkar, S P Balasubramaniam",Ham Aapke Hain Kaun,4.10,101,Hum Aapke Hain Kaun
Lata Mangeshkar,Maai Ne Maai Munder Pe Tere Bol Rahaa Hai Kaagaa,3.91,127,Hum Aapke Hain Kaun
Lata Mangeshkar,Chocolate Lime Juice Ice Cream,4.49,73,Hum Aapke Hain Kaun
Lata Mangeshkar,"Lo Chalee Main, Apne Devar Kee Barat Le Ke",4.40,50,Hum Aapke Hain Kaun
"Lata Mangeshkar, Kumar Sanu",Aaj Hamare Dil Me Ajab Yeh Uljhan Hai,4.14,86,Hum Aapke Hain Kaun
"Lata Mangeshkar, S P Balasubramaniam","Dulhe Ki Saaliyo, O Hare Dupatte Valiyo",3.95,57,Hum Aapke Hain Kaun
Sharda Sinha,Babul Jo Tumne Sikhaya Jo Tum Se Paya,3.90,92,Hum Aapke Hain Kaun
"Lata Mangeshkar, S P Balasubramaniam",Ye Mausam Ka Jadu Hai Mitwa,4.37,38,Hum Aapke Hain Kaun
"Lata Mangeshkar, S P Balasubramaniam",Vaah Vaah Raam Ji Jodi Kyaa Banaai,4.18,39,Hum Aapke Hain Kaun
S P Balasubramaniam,Dhikh Tanaa Dhikh Tanaa Dhikh Tanaa,3.40,20,Hum Aapke Hain Kaun
"Lata Mangeshkar, S P Balasubramaniam","Jute De Do Paise Le Lo, Dulhe Ki Saaliyo O Hare Dupatte Vaaliyo",4.37,19,Hum Aapke Hain Kaun
"Shailendra Singh, Udit Narayan, S P Balasubramaniam, Lata Mangeshkar",Dhikh Tana Dhikh Tana Dhikh Tana (2),3.94,17,Hum Aapke Hain Kaun
"K. K., Dominique Cerejo",Tadap Tadap Ke Is Dil Se Aah Nikalti Rahi,4.17,290,Hum Dil De Chuke Sanam
"Mohammad Salamat, Kavita Krishnamurthy, Dominique Cerejo",Ham Dil De Chuke Sanam (Title Song),4.15,102,Hum Dil De Chuke Sanam
Kumar Sanu,Aankho Kee Gustakhiya Maf Ho,4.34,64,Hum Dil De Chuke Sanam
"Udit Narayan, Alka Yagnik",Chand Chupa Badal Me Sharma Ke Meree Jana,4.29,76,Hum Dil De Chuke Sanam
Hariharan,Jhonka Hava Ka Aaj Bhi Zulfein Udaata Hoga Na,4.33,36,Hum Dil De Chuke Sanam
"Kavita Krishnamurthy, Karsan Sargathia",Nimbudaa Nimbudaa,4.20,35,Hum Dil De Chuke Sanam
Shankar Mahadevan,Mitti Pe Khinchi Lakire Rab Ne To Ye Taswir Bani,4.12,49,Hum Dil De Chuke Sanam
"Vinod Rathod, Kavita Krishnamurthy, Karsan Sargathia",Dholi Thaaro Dhol Baaje,4.10,39,Hum Dil De Chuke Sanam
"Shankar Mahadevan, K. K., Jyotsna Hardikar, Dominique Cerejo","Kaayapochhe, Dhil De Dhil De De Re Bhayyaa",4.35,17,Hum Dil De Chuke Sanam
"Kavita Krishnamurthy, Shankar Mahadevan, Ustad Sultan Khan",Alabelaa Sajan Aayo Ri,3.67,12,Hum Dil De Chuke Sanam
,Love Theme Of Hum Dil De Chuke Sanam,4.40,5,Hum Dil De Chuke Sanam
"Mohammed Rafi, Asha Bhosle","Abhi Na Jaao Chhod Kar, Ke Dil Abhi Bhara Nahin",4.29,4202,Hum Dono
Lata Mangeshkar,Prabhu Tero Naam Jo Dhyaaye Phal Paaye,4.50,114,Hum Dono
Mohammed Rafi,"Kabhi Khud Pe, Kabhi Haalaat Pe Ronaa Aayaa",4.44,246,Hum Dono
Mohammed Rafi,Main Zindagi Kaa Saath Nibhaataa Chalaa Gayaa,4.42,251,Hum Dono
Asha Bhosle,"Dukh Aur Sukh Ke Raaste, Bane Hain Sab Ke Vaaste",4.53,55,Hum Dono
Lata Mangeshkar,"Allaah Tero Naam, Iishvar Tero Naam",4.37,91,Hum Dono
Asha Bhosle,Jahan Mein Aisa Kaun Hai,4.34,71,Hum Dono
"Mohammed Rafi, R D Burman, Asha Bhosle, Kishore Kumar","Chand Mera Dil, Chandani Ho Tum",4.52,128,Hum Kisi Se Kum Naheen
"Kishore Kumar, Asha Bhosle",Yeh Ladka Hai Allah Kaisa Hai Divana,4.42,113,Hum Kisi Se Kum Naheen
"Mohammed Rafi, Sushma Shrestha","Kya Huwa Teraa Vada, Woh Kasam Woh Irada",4.38,296,Hum Kisi Se Kum Naheen
"Mohammed Rafi, Asha Bhosle",Hai Agar Dushman (Hum Kisi Se Kam Nahi),4.44,78,Hum Kisi Se Kum Naheen
Kishore Kumar,"Bachnaa Ae Haseeno, Lo Main Aa Gayaa",4.58,31,Hum Kisi Se Kum Naheen
Mohammed Rafi,Chand Mera Dil Chandni Ho Tum,4.52,31,Hum Kisi Se Kum Naheen
R D Burman,Tum Kya Jano Mohabbat Kya Hai,4.51,47,Hum Kisi Se Kum Naheen
"Kishore Kumar, Asha Bhosle",Mil Gaya Hum Ko Sathi Mil Gaya,4.32,28,Hum Kisi Se Kum Naheen
Kishore Kumar,Aa Dil Kya Mehfil Hai Tere Kadmo Me,4.81,16,Hum Kisi Se Kum Naheen
"Kishore Kumar, Asha Bhosle",Hum Ko To Yaara Teri,4.70,20,Hum Kisi Se Kum Naheen
Udit Narayan,Mubarak Ho Tumko Ye Shadi Tumhari,4.28,512,Haan Maine Bhi Pyaar Kiya
"Kumar Sanu, Alka Yagnik",Hum Pyar Hai Tumhare Dildar Hai Tumhare,3.81,89,Haan Maine Bhi Pyaar Kiya
"Alka Yagnik, Udit Narayan","Honey, Har Kisi Ke Dil Me Ik Ladki Ka Khayaal",4.48,21,Haan Maine Bhi Pyaar Kiya
"Udit Narayan, Alka Yagnik",Teri Aankhon Ka Andaaz,4.42,24,Haan Maine Bhi Pyaar Kiya
"Alka Yagnik, Kumar Sanu, Sarika Kapoor",Zindagi Ko Bina Pyaar Koi Kaise Gujare,4.19,26,Haan Maine Bhi Pyaar Kiya
"Udit Narayan, Alka Yagnik",Hum Yaar Hai Tumhare Dildaar Hai,4.10,42,Haan Maine Bhi Pyaar Kiya
Alka Yagnik,Zindagi Ko Bina Pyaar Koi Kaise Gujare,3.95,44,Haan Maine Bhi Pyaar Kiya
,Teri Aankhon Ka Andaaz (Instrumental),4.50,4,Haan Maine Bhi Pyaar Kiya
Mohammed Rafi,"Nafarat Ki Duniaa Ko Chhod Ke, Pyar Ki Duniyaa Men",4.30,219,Haathi Mere Saathi
Kishore Kumar,"Chal Chal Chal Mere Sathee, O Mere Hathee",3.76,161,Haathi Mere Saathi
Kishore Kumar,Duniyaa Mein Rahanaa Hai To Kaam Karo,4.00,24,Haathi Mere Saathi
"Lata Mangeshkar, Kishore Kumar",Sun Ja Aa Thandee Hava,3.83,46,Haathi Mere Saathi
"Lata Mangeshkar, Kishore Kumar",Mere Mann Me Machee Halchal,3.78,23,Haathi Mere Saathi
"Kishore Kumar, Lata Mangeshkar",Dilbar Janee Chalee Hava Mastanee,3.67,48,Haathi Mere Saathi
"Kishore Kumar, Lata Mangeshkar",Tak Tak Tak Jaise Chalati Hai Gaadi Chhak Chhak,3.54,28,Haathi Mere Saathi
Mubarak Begum,Kabhi Tanhaiyo Me Humari Yaad Aayegi,4.50,216,Hamari Yaad Aayegi
Suman Kalyanpur,"Dil Tod Ke ,Chale Jana Hai To",3.33,215,Hamari Yaad Aayegi
"Suman Kalyanpur, Mohammed Rafi",Chail Chabila Chokra Ji Ek Chail Chabila Chokra,2.60,116,Hamari Yaad Aayegi
Mukesh,Farishton Ki Nagari Men Main Aa Gayaa Hun Main,4.60,53,Hamari Yaad Aayegi
Mukesh,Aankho Me Teri Yaad Liye Ja Raha Hu Main,4.59,37,Hamari Yaad Aayegi
"Mukesh, Lata Mangeshkar",Sochataa Hun Ye Kyaa Kiyaa Mainne,4.45,40,Hamari Yaad Aayegi
"Mukesh, Lata Mangeshkar",Jawaan Muhabbat Hasin Aankhon Me,4.61,18,Hamari Yaad Aayegi
Mukesh,Kanhaiya Chala Dhor Ban Me Charane,4.22,9,Hamari Yaad Aayegi
,Kabhi To Pura Tol Prani,4.00,4,Hamari Yaad Aayegi
Suman Kalyanpur,Joo Dil Kadmo Pe,3.33,3,Hamari Yaad Aayegi
Mahendra Kapoor,"Hey, Nile Gagan Ke Tale, Dharti Ka Pyar Pale",4.39,1447,Hamraaz
Mahendra Kapoor,Tum Agar Sath Dene Kaa Vada Karo,4.34,1717,Hamraaz
Mahendra Kapoor,Na Munh Chhupake Jiyo Aur Na Sar Jhuka Ke Jiyo,4.43,129,Hamraaz
Mahendra Kapoor,Kisee Patthar Kee Murat Se Muhabbat Kaa Irada Hai,4.46,85,Hamraaz
"Asha Bhosle, Mahendra Kapoor",Tu Husn Hai Mai Ishk Hu,4.46,26,Hamraaz
,Hamraaz (Title Music),3.40,5,Hamraaz
"Mubarak Begum, Mohammed Rafi","Mujhko Apne Gale Lagalo, Ai Mere Hamrahi",4.47,237,Hamrahi
Mohammed Rafi,Ye Aansu Mere Dil Ki Zubaan Hain,4.63,54,Hamrahi
"Lata Mangeshkar, Mohammed Rafi",Karke Jiska Intzar Mera Dil Gaya Haar,4.52,50,Hamrahi
Mohammed Rafi,"Dil Tu Bhi Ga, Pyar Me Muskura, Sapno Me Jo Aate Hai Aksar",4.88,25,Hamrahi
"Mohammed Rafi, Lata Mangeshkar",Woh Din Yad Karo Woh Chhup Chhup Ke Milana,4.57,30,Hamrahi
Mohammed Rafi,"Mai Albela Jawan Hu Rangeela, Aye Dil Manzil Hai Pyar Ki",4.52,27,Hamrahi
Mohammed Rafi,Vo Chale Jhatak Ke Daaman Meri Aarazu Mitaa Ke,4.35,46,Hamrahi
Lata Mangeshkar,Man Re Tu Hi Bata Kya Gau,4.28,39,Hamrahi
Mohammed Rafi,Yeh Mana Meri Jaan Mohabbat Saza Hai,4.50,105,Hanste Zakhm
"Lata Mangeshkar, Mohammed Rafi","Tum Jo Mil Gaye Ho, To Ye Lagtaa Hai, Ke Jahaan Mil Gaya",4.44,250,Hanste Zakhm
Lata Mangeshkar,"Betaab Dil Ki Tamanna Yahi Hai, Tumhe Chahege Tumhe Pujege",4.55,83,Hanste Zakhm
Lata Mangeshkar,Aaj Sochaa To Aansu Bhar Aaye,4.44,59,Hanste Zakhm
Asha Bhosle,Gali Gali Me Kiya Re Badanam,4.00,2,Hanste Zakhm
"Usha Iyer, Asha Bhosle",Dum Maro Dum,4.44,248,Hare Rama Hare Krishna
"Lata Mangeshkar, Kishore Kumar","Kanchi Re Kanchi Re, Preet Meri Sanchi",4.43,134,Hare Rama Hare Krishna
Kishore Kumar,"Phulo Ka Taaro Ka, Sabka Kahna Hai (Kishore)",4.42,169,Hare Rama Hare Krishna
Lata Mangeshkar,Phulo Ka Taaro Ka Sabka Kahna Hai (Female),4.29,142,Hare Rama Hare Krishna
"Asha Bhosle, Usha Iyer",Hare Rama Hare Krishna,4.65,51,Hare Rama Hare Krishna
Asha Bhosle,Dum Maaro Dum (2),4.55,38,Hare Rama Hare Krishna
Kishore Kumar,Raam Ka Naam Badanam Na Karo,4.18,33,Hare Rama Hare Krishna
Lata Mangeshkar,"E Kaanchaa, Haay Re Daiyaa",4.56,16,Hare Rama Hare Krishna
,Hare Rama Hare Krishna (Dance Music - I),4.50,2,Hare Rama Hare Krishna
,Hare Rama Hare Krishna (Dance Music - Ii),3.00,2,Hare Rama Hare Krishna
Mukesh,Ibtedaey Ishk Me Ham Saree Rat Jage,4.56,131,Hariyali Aur Rasta
"Mukesh, Lata Mangeshkar",Bol Meri Taqdeer Main Kya Hai,4.44,142,Hariyali Aur Rasta
Mukesh,Teri Yaad Dil Se Bhulane Chala Hu,4.57,97,Hariyali Aur Rasta
"Lata Mangeshkar, Mukesh","Lakhon Tare, Aasman Me, Ek Magar Dhunde Naa Mila",4.45,87,Hariyali Aur Rasta
"Mukesh, Lata Mangeshkar",Allah Jane Kya Hoga Aage,4.64,39,Hariyali Aur Rasta
Mahendra Kapoor,"Kho Gaya Hai Mera Pyar, Dhundta Hu Mai Mera Pyar",4.49,35,Hariyali Aur Rasta
Lata Mangeshkar,Ye Hariyali Aur Ye Rasta,4.33,43,Hariyali Aur Rasta
Lata Mangeshkar,Bol Meri Taqdir Me Kya Hai Mere Humsafar,4.28,40,Hariyali Aur Rasta
Lata Mangeshkar,"Ek Tha Raja Ek Thi Raani, Aao Sunau Unki Kahani",4.18,22,Hariyali Aur Rasta
Asha Bhosle,Parwano Ki Raah Me Deewano Ki Chaah Me,4.72,18,Hariyali Aur Rasta
"Alka Yagnik, Sonu Nigam",What Is Mobile Number,4.23,47,Haseena Maan Jaayegi
Shankar Mahadevan,Dil Kahta Hai Ek Din Hasina Maan Jaayegi,4.07,46,Haseena Maan Jaayegi
"Ravi Shankar, Kavita Krishnamurthy, Sonu Nigam",Dulha Bhi Lajawab Hai,4.08,12,Haseena Maan Jaayegi
"Hema Sardesai, Shankar Mahadevan",Chiti Pahaad Chadhe Marne Ke Vaste,3.00,13,Haseena Maan Jaayegi
"Sonu Nigam, Poornima",Panga Na Le Mere Naal,3.78,9,Haseena Maan Jaayegi
"Sonu Nigam, Govinda, Sudesh Bhosle, Sanjay Dutt, Alka Yagnik",I Love You Bol Daal,3.67,6,Haseena Maan Jaayegi
"Alka Yagnik, Sonu Nigam",Yun Huaa Ke Hame Tum Mile,4.33,3,Haseena Maan Jaayegi
,Dil Kahta Hai Ik Din Haseena Maan Jaayegi (Instrumental),1.00,1,Haseena Maan Jaayegi
"Arijit Singh, Samira Koppikar",Aaj Phir (Remix),4.02,1337,Hate Story 2
"Samira Koppikar, Arijit Singh",Aaj Phir Tumpe Pyar Aaya Hai,4.24,979,Hate Story 2
Arijit Singh,Hai Dil Ye Mera,4.07,589,Hate Story 2
K. K.,Kabhi Aayine Pe Likha Tujhe,3.93,905,Hate Story 2
K. K.,Kabhi Aayine Pe Likha Tujhe (Remix),4.05,252,Hate Story 2
"Khushboo Grewal, Meet Bros Anjjan",Pink Lips,4.01,371,Hate Story 2
"Khushboo Grewal, Meet Bros Anjjan",Pink Lips (Remix),3.96,141,Hate Story 2
Arijit Singh,Hai Dil Ye Mera (Remix),3.85,144,Hate Story 2
Mohammed Rafi,"Zindagi Naam Hai, Waqt Ki Maar Ka",4.50,12,Hatyara
"Lata Mangeshkar, Kishore Kumar","Sone Ka Chabutara, Uspe Naache Mor",4.27,15,Hatyara
"Shahid Bijnori, Mehmood, Johnny Junior","Hamara Kaam Hai, Hum Toh Sare Bajaar Naachnge",4.00,4,Hatyara
Asha Bhosle,Mere Noor Ke Charche Dur Dur,4.00,4,Hatyara
,Raakhi Le Lo Ji Le Lo,4.00,2,Hatyara
"Sunidhi Chauhan, Shafqat Amanat Ali","Bin Tere, Bin Tere, Bin Tere",4.38,53,I Hate Luv Storys
"Suraj Jagan, Mahalakshmi Iyer",Sadka Kiya Yun Ishq Ka,4.42,45,I Hate Luv Storys
"Shreya Ghoshal, Sona Mohapatra",Ho Tora Saajan Aayo Tore Des (Bahara),4.33,24,I Hate Luv Storys
Vishal Dadlani,I Hate Luv Storys,4.26,23,I Hate Luv Storys
Rahat Fateh Ali Khan,Bahara (Chill Version),4.47,15,I Hate Luv Storys
Shekhar Ravjiani,Bin Tere (Reprise),3.93,14,I Hate Luv Storys
"Sunidhi Chauhan, Shafqat Amanat Ali",Bin Tere (Remix),4.67,3,I Hate Luv Storys
Vishal Dadlani,"Jab Mila Tu, Na Thi Kami Na Justaju",3.78,9,I Hate Luv Storys
Roop Kumar Rathod,Vatan Vaalo Vatan Naa Bech Denaa,4.26,76,Indian
"Alka Yagnik, Udit Narayan",Honaa Na Tum Judaa Ham Mar Jaaenge,3.81,81,Indian
"Richa Sharma, Sunidhi Chauhan",Ye Pyar Hai Ek Nasha Zindagee Kaa,3.71,28,Indian
"Alka Yagnik, Shaan","Deewana Mai Na Tha, Deewana Ban Gaya",3.25,24,Indian
"Alka Yagnik, Anand Raj Anand",Thaath Navaabi Baat Navaabi Vaah Teri Kya Baat Hai,4.00,10,Indian
"Abhijeet, Sadhana Sargam",Jaanaan Tujhe Jaanaa To Jaanaa Mainne Ye,4.83,6,Indian
Usha Mangeshkar,"O Mungda, Mungda, Mungda, Mai Gud Kee Dalee",4.00,132,Inkaar
Mohammed Rafi,Dil Ki Kali Yu Hi Sada Khilti Rahe,4.74,23,Inkaar
Mohammed Rafi,Dil Ki Kali Yunhi Sada Khilti Rahe (Sad),4.82,11,Inkaar
"Kishore Kumar, Asha Bhosle",Chhodo Ye Nigaho Ka Ishara Sauda Hai Ye,4.53,15,Inkaar
"Kishore Kumar, Asha Bhosle","Aaj Abhi Yahi Nahi Nahi Nahi, Kyu",4.50,6,Inquilaab
Kishore Kumar,Abhimanyu Chakravyuh Men Phans Gayaa Hai Tu,4.50,8,Inquilaab
Kishore Kumar,Disco 84,4.40,5,Inquilaab
Kishore Kumar,Ae Lo Mai Ban Gaya Thanedar,4.33,3,Inquilaab
"Asha Bhosle, Kishore Kumar","Saare Badan Men Zahar Chadh Gayaa, Bichchhu Lad Gayaa",4.36,11,Inquilaab
"Udit Narayan, Vibha Sharma",Ishq Hua Kaise Hua,4.27,30,Ishq
"Anu Malik, Abhijeet","Hamko Tumse Pyar Hai, Jiya Bekarar Hai",4.20,45,Ishq
Jaishri Shivram,"Jab Nind Na Aaye (Ishq Hai, Ishq Hai)",4.00,45,Ishq
"Abhijeet, Kavita Krishnamurthy, Poornima, Sudesh Bhosle, Udit Narayan","Mr. Lova Lova, Teri Aankhon Ka Jaadu",3.81,21,Ishq
"Kumar Sanu, Udit Narayan, Alka Yagnik, Kavita Krishnamurthy",Nind Churayee Meree Kisne O Sanam,3.94,16,Ishq
"Udit Narayan, Alka Yagnik",Dekho Dekho Janam Ham,4.22,9,Ishq
"Vibha Sharma, Kumar Sanu",Kaise Kahu Kaise Ho Tum,4.14,7,Ishq
"Mohammed Rafi, Lata Mangeshkar","Ye Dil Deewana Hai, Dil To Deewana Hai",4.41,227,Ishq Par Zor Nahin
Lata Mangeshkar,O Mere Bairaagi Bhanwara Mujhe Tadpao Na,4.65,20,Ishq Par Zor Nahin
Mohammed Rafi,Mahabubaa Teri Tasvir Kis Tarah Main Banaaun,4.54,28,Ishq Par Zor Nahin
Lata Mangeshkar,Sach Kahati Hai Duniyaa Isak Pe Jor Nahin,4.35,20,Ishq Par Zor Nahin
Asha Bhosle,Pyar Bhari Ik Baat Chali,4.82,11,Ishq Par Zor Nahin
Lata Mangeshkar,Mai To Tere Rang Rachi,4.70,10,Ishq Par Zor Nahin
Lata Mangeshkar,Tum Mujhse Dur Chale Jana Na,4.47,17,Ishq Par Zor Nahin
Manna Dey,Koi Maane Ya Na Mane,4.33,3,Ishq Par Zor Nahin
Rahat Fateh Ali Khan,Dil To Bachcha Hai Jee,4.21,29,Ishqiya
Rekha Bhardwaj,Badi Dheere Jali Naina Dhua Dhua Naina,3.92,12,Ishqiya
Rekha Bhardwaj,Ab Mujhe Koi Intzar Kaha,4.67,6,Ishqiya
"Sukhwinder Singh, Mika Singh",Ibn-E-Batuta Ta Ta Bagal Mein Juta,4.57,7,Ishqiya
"Rahat Fateh Ali Khan, Clinton Cerejo",Dil To Bachcha Hai (Remix),4.56,9,Ishqiya
"Sukhwinder Singh, Mika Singh",Ibn-E-Batuta (Nucleya Remix),3.00,1,Ishqiya
"Mika Singh, Sukhwinder Singh",Ibn-E-Batuta (Remix),3.00,1,Ishqiya
"Mohammed Rafi, Lata Mangeshkar","Ye Dil Tum Bin Kahin Lagta Nahin, Ham Kya Kare",4.48,657,Izzat
Mohammed Rafi,Kya Miliye Aise Logo Se,4.49,59,Izzat
Lata Mangeshkar,Jagee Jagee Badan Me Jwala Saiya,4.18,49,Izzat
Lata Mangeshkar,Ruk Ja Zara Kidhar Ko Chala,4.10,49,Izzat
"Mohammed Rafi, Asha Bhosle",Sar Pe Lamba Top Leke,4.10,21,Izzat
Manna Dey,Kah Gaye Father Ibrahim,4.50,14,Izzat
Manna Dey,Pyar Ke Bukhar Ko Utar Mere Manva,3.88,17,Izzat
Mahendra Kapoor,Insaf Ka Tarazu Jo Hath Me Uthaye,4.33,12,Insaaf Ka Tarazu
"Asha Bhosle, Mahendra Kapoor",Hazar Khwab Haqeeqat,3.86,7,Insaaf Ka Tarazu
Asha Bhosle,Log Aurat Ko Fakat,3.86,7,Insaaf Ka Tarazu
"Asha Bhosle, Usha Mangeshkar, Mahendra Kapoor",Hai Jo Yehi Pyar,1.00,1,Insaaf Ka Tarazu
Kavita Krishnamurthy,"Dunya Karti Hai Kyo Zid, Do Dilo Ko Juda Karne Ke Liye",3.63,311,Inteha Pyar Ki
